path,size,mtime,ext,drive
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-tan.csv,61728,1757923961.950655,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-tanh.csv,61728,1757923961.950655,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-sin.csv,59981,1757923961.9496548,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-sinh.csv,61722,1757923961.9496548,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-log1p.csv,61732,1757923961.948655,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-log2.csv,70546,1757923961.948655,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-expm1.csv,61728,1757923961.9476547,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-log.csv,11963,1757923961.9476547,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-log10.csv,70551,1757923961.9476547,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-exp.csv,17903,1757923961.9466546,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-exp2.csv,60053,1757923961.9466546,.csv,C:\
C:\Users\Admin\PycharmProjects\SubwayCongestion\.venv\Lib\site-packages\numpy\_core\tests\data\umath-validation-set-cos.csv,60497,1757923961.945637,.csv,C:\
